,Shamim_Rezaie  ,Bas_Brands  ,Andrew_Nicols  ,Amaia_Anabitarte  ,Tim_Hunt  ,Damyon_Wiese  ,Matt_Porritt  ,Tom_Dickman  ,David_Monllao  ,Ryan_Wyllie  ,Marina_Glancy  ,Brendan_Heywood  ,Mark_Nelson  ,sam_marshall  ,Mihail_Geshoski  ,Frederic_Massart  ,Juan_Leyva  ,Simey_Lameze  ,Ankit_Agarwal  ,David_Mudrak  ,Cameron_Ball  ,gthomas2  ,Ilya_Tregubov  ,Jun_Pataleta  ,John_Okely  ,Dan_Poltawski  ,Mark_Nielsen  ,Brendan_Anderson  ,Jean-Michel_Vedrine  ,Rossiani_Wijaya  ,Colin_Chambers  ,Petr_Skoda  ,nobelium  ,Andrew_Davis  ,Sam_Hemelryk  ,James_McQuillan  ,Yuliya_Bozhko  ,Sam_Chaffee  ,Mayank_Gupa  ,Eloy_Lafuente_(stronk7)  ,Andreas_Grabs  ,Dongsheng_Cai  ,Davo_Smith  ,Mikhail_Golenkov  ,Sara_Arjona  ,Helen_Foster  ,Rajesh_Taneja  ,skodak  ,Eric_Merrill  ,Inaki  ,Tony_Levi  ,Eloy_Lafuente_(stronk7),moodler  ,donal72  ,fiedorow  
B-javascript-S2201,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.88956969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S2259,32.30789355,5.701392979,3.800928653,0,0,5.701392979,3.800928653,1.900464326,0,3.800928653,0,0,0,1.900464326,0,1.900464326,0,0,0,0,0,0,0,0,0,1.900464326,0,0,0,0,0,32.30789355,0,0,1.900464326,0,0,0,0,0,0,1.900464326,1.900464326,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S2583,2.347923303,0,28.17507964,0,0,25.82715634,0,0,0,7.04376991,0,0,0,0,0,0,0,2.347923303,0,0,0,0,0,0,0,2.347923303,0,0,0,2.347923303,0,21.13130973,0,2.347923303,2.347923303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-php-S836,0,0,9.779139371,0,1.222392421,1.222392421,0,0,1.222392421,1.222392421,4.889569685,0,1.222392421,1.222392421,7.334354528,1.222392421,0,1.222392421,0,1.222392421,1.222392421,0,1.222392421,1.222392421,0,1.222392421,0,0,1.222392421,1.222392421,1.222392421,4.889569685,0,1.222392421,0,0,0,1.222392421,2.444784843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S3403,0,0,2.637429921,0,0,7.912289762,0,5.274859841,0,2.637429921,0,0,0,0,2.637429921,0,0,2.637429921,0,0,0,0,0,0,0,0,0,0,0,0,0,23.73686929,0,0,2.637429921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-php-S2201,0,0,3.222392421,0,0,6.444784843,0,0,0,0,6.444784843,0,0,0,0,3.222392421,3.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-php-S1848,0,0,21,0,0,0,0,3,0,0,15,0,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-php-S1656,0,0,4.695846607,0,2.347923303,4.695846607,0,0,0,0,9.391693214,2.347923303,0,2.347923303,0,4.695846607,2.347923303,0,0,0,0,0,2.347923303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.347923303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-php-S3923,0,0,4.222392421,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V-php-S2964,0,0,3.800928653,0,0,7.601857306,0,0,20.90510759,0,0,0,0,1.900464326,15.20371461,0,3.800928653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.900464326,0,5.701392979,0,0,0,0,0,0,0,0,0,1.900464326,0,0,1.900464326,0,0,0,1.900464326,1.900464326,3.800928653,0,1.900464326
B-Web-BoldAndItalicTagsCheck,0,0,0,88.67024085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S2757,0,0,0,26.65148445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.807354922,0,0,3.807354922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V-javascript-S2819,0,0,0,8.444784843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0
B-php-S1763,0,0,0,0,4.444784843,13.33435453,0,0,0,0,2.222392421,0,0,0,0,4.444784843,2.222392421,0,0,0,0,2.222392421,0,0,0,0,0,0,2.222392421,0,0,28.89110148,0,0,0,0,2.222392421,0,0,2.222392421,2.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S2873,0,0,0,0,0,12.66717726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S1143,0,0,0,0,0,7.614709844,3.807354922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.807354922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-UnreachableCode,0,0,0,0,0,3.485426827,0,0,3.485426827,0,3.485426827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.970853654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V-php-S2053,0,0,0,0,0,4.807354922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V-php-S2068,0,0,0,0,0,4,0,0,0,0,6,0,0,0,4,2,30,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,4,0,4,0,2,0,0,0
B-javascript-S3981,0,0,0,0,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.88956969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S3785,0,0,0,0,0,0,0,6.970853654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.76682923,0,0,10.45628048,3.485426827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-php-S1764,0,0,0,0,0,0,0,0,3.222392421,0,6.444784843,0,3.222392421,0,0,0,3.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-php-S1862,0,0,0,0,0,0,0,0,3.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.222392421,0,0,0,3.222392421,0,0,3.222392421,0,0,0,0,3.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S2137,0,0,0,0,0,0,0,0,0,6.970853654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.485426827,0,0,0,0,0,6.970853654,0,0,3.485426827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-DuplicatePropertyName,0,0,0,0,0,0,0,0,0,0,3.807354922,0,0,0,0,3.807354922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.807354922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Web-DoctypePresenceCheck,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Web-FieldsetWithoutLegendCheck,0,0,0,0,0,0,0,0,0,0,4.807354922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V-php-S4433,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,0,0,0
B-php-S2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Web-PageWithoutTitleCheck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.807354922,0,3.807354922,0,0,0,0,0,0,0,0,0,0,0,0,11.42206477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V-php-S4830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.807354922,0,0,0,0,0,5.614709844,0,0,0,0,0,0,0,2.807354922,0,0,0,0,0,0,0,5.614709844,0,0,0,0,0,0,0,0,2.807354922,2.807354922,0,0,0,5.614709844,0
B-Web-ImgWithoutAltCheck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S3812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.614709844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S4043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,0,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-php-S1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807354922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-php-S905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807354922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Web-UnsupportedTagsInHtml5Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,0,8.444784843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Web-FrameWithoutTitleCheck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.222392421,4.222392421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V-php-S4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807354922,0,0
